"2008년","새벽","아침","낮","오전","오후","저녁","밤","미상",
" 절도 ","13252","11158","75240","25168","50072","23121","69610","30883",
" 살인 ","84","38","276","92","184","101","433","188",
" 강도 ","736","146","940","272","668","250","1974","781",
" 방화 ","199","72","463","140","323","177","821","214",
" 강간 ","1811","906","3037","923","2114","889","5526","2925",
" 폭행 ","8749","3621","21491","6447","15044","7746","54223","12117",
" 상해 ","6681","3138","19094","5853","13241","6189","40639","11183",
" 공갈 ","75","129","2037","385","1652","352","725","1131",
" 약취와유인 ","6","11","115","21","94","28","45","58",
" 체포와감금 ","52","41","266","99","167","92","232","153",
" 폭력행위등처벌에관한법률위반 ","4746","1810","11698","3110","8588","4087","27013","7873",
" 도박과복표 ","220","72","2328","358","1970","1216","3848","3493",
" 과실치사상 ","49","52","467","122","345","111","366","176",
" 업무상과실치사상 ","81","170","1562","623","939","145","272","399",
" 교통사고처리특례법위반 ","11160","16272","79461","23089","56372","23993","49820","6321",
" 도로교통법위반 ","4471","3025","13280","3723","9557","5210","21600","3906",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
