범죄대분류,범죄중분류,현행범,피해자신고,고소,고발,자수,민간체포,"진정,투서",타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관,범행도구발견,장물,전과조회,기타
강력범죄,살인기수,54,13,12,2,30,0,0,72,2,5,27,0,6,67,0,0,1,2,0,0,0,41
강력범죄,살인미수등,195,159,30,1,16,0,1,117,0,3,23,0,0,2,0,0,1,1,4,0,0,26
강력범죄,강도,252,898,45,2,7,4,5,37,7,14,391,9,34,3,6,1,1,4,11,3,0,123
강력범죄,강간,377,2241,1213,7,15,1,21,144,1,7,1159,2,14,5,2,0,8,4,1,1,0,258
강력범죄,유사강간,9,67,13,0,0,0,2,4,0,1,24,0,0,0,0,0,0,0,0,0,0,2
강력범죄,강제추행,2959,5396,1809,18,11,30,45,261,2,18,1482,14,8,0,5,0,5,4,1,0,0,457
강력범죄,기타 강간 강제추행등,106,723,159,2,3,3,4,34,1,6,438,2,50,1,4,0,1,3,1,0,1,104
강력범죄,방화,398,512,19,2,31,4,1,199,3,9,100,1,7,5,5,0,1,0,0,0,0,96
절도범죄,절도,9482,58716,3029,61,570,456,400,2411,587,1615,26871,220,797,8,863,52,60,146,151,849,20,11214
폭력범죄,상해,11253,25082,11417,33,60,2,453,2188,7,49,608,2,2,24,1,0,34,16,1,0,1,1675
폭력범죄,폭행,44502,59440,5781,36,87,4,359,3429,9,30,594,4,9,27,0,0,20,18,0,0,3,3932
폭력범죄,체포 감금,121,316,258,5,4,0,8,45,0,1,34,0,0,2,0,0,3,1,0,0,0,36
폭력범죄,협박,560,1060,1996,8,1,0,137,18,0,4,110,0,0,1,0,0,14,2,0,0,0,102
폭력범죄,약취 유인,19,43,38,0,1,0,1,13,0,1,23,0,0,0,0,0,1,0,0,0,0,14
폭력범죄,폭력행위등,11505,17664,2956,26,77,5,125,2236,26,41,1549,3,8,9,10,0,34,27,7,5,1,1358
폭력범죄,공갈,127,1008,659,8,3,1,70,51,0,7,762,0,0,0,1,0,12,2,0,0,0,144
폭력범죄,손괴,7922,13611,3008,45,77,6,222,605,5,71,335,7,49,3,4,2,18,10,2,0,2,714
지능범죄,직무유기,0,1,225,98,0,0,2,2,0,0,11,0,0,0,0,0,6,1,0,0,0,13
지능범죄,직권남용,1,0,166,35,0,0,0,0,0,0,4,0,0,0,0,0,7,1,0,0,0,17
지능범죄,증수뢰,4,0,14,39,0,0,9,1,0,2,114,0,0,0,0,0,1,4,0,0,0,46
지능범죄,통화,23,48,3,16,1,4,12,20,0,0,24,0,0,0,0,0,1,0,0,1,0,45
지능범죄,문서 인장,244,234,6426,2035,38,8,737,661,4,131,426,0,0,1,0,0,40,21,6,2,3,1021
지능범죄,유가증권인지,2,8,244,7,1,1,8,7,0,0,14,0,0,0,0,0,1,1,0,0,0,18
지능범죄,사기,8820,17050,92707,753,295,21,29765,599,22,561,7033,16,26,11,13,0,491,122,2,7,26,7647
지능범죄,횡령,221,2386,14997,561,78,4,687,352,6,1153,1825,4,1,2,19,0,66,24,4,186,2,1130
지능범죄,배임,1,15,2998,272,4,1,47,1,1,4,449,0,0,0,0,0,12,141,0,0,0,95
풍속범죄,성풍속범죄,2007,1874,1851,24,21,32,330,393,4,288,8290,0,17,0,53,0,22,18,110,0,0,2007
풍속범죄,도박범죄,2018,185,28,29,41,0,47,2738,2,96,1296,0,1,0,0,0,30,48,2,0,3,1304
특별경제범죄,특별경제범죄,8657,6798,20434,7707,93,6,2315,824,10,158,2566,1,4,1,1,0,159,42,0,0,4,2909
마약범죄,마약범죄,91,39,4,108,181,0,10,218,5,132,2320,1,14,4,0,0,6,13,5,0,1,1277
보건범죄,보건범죄,499,312,422,5833,11,3,230,2338,2,424,4706,0,8,1,0,1,13,8,8,0,0,5281
환경범죄,환경범죄,42,27,34,1541,6,12,19,352,3,288,200,0,0,0,0,0,10,3,1,0,0,1514
교통범죄,교통범죄,11083,179527,519,2005,13022,47,135,64391,21,167791,2195,8,41,33,11,0,22,266,18,5,6,81806
노동범죄,노동범죄,81,15,52,401,8,0,46,77,0,35,694,0,0,3,0,0,3,0,0,0,0,271
안보범죄,안보범죄,6,4,8,6,0,0,0,3,1,0,43,0,0,0,0,0,1,0,0,0,0,45
선거범죄,선거범죄,4,8,11,97,0,0,8,22,0,1,58,0,0,0,0,0,5,2,0,0,0,34
병역범죄,병역범죄,7,11,179,21755,50,0,2,14,0,74,27,0,0,2,0,0,19,7,0,0,4,362
기타범죄,기타범죄,24100,11361,30466,27098,286,29,3882,22242,66,12025,18330,5,53,436,11,0,291,226,38,756,2,21897
